B: 	yes 
B: 	ik hebben een het enig object met een draai erin en een voe en het voe zijn of driehoekig 
B: 	in principe hebben die een 
A: 	ja 
A: 	nummer vier 
B: 	ja 
A: 	nou dit zijn de wat jij eerder zeggen de enig kop met een soort van draaikolk aan de onderkant 
B: 	ja 
A: 	die eindigen op een driehoek 
B: 	dat zijn bij mij nummer A 
B: 	ik hebben degeen met de draai erin die op een driehoekig voe staan 
A: 	ja 
A: 	nummer tien 
A: 	nou dit zijn het enig plaat met een draaikolk 
B: 	ah 
A: 	die op een driehoek uitkomen 
B: 	ja dat zijn L 
B: 	ik hebben degeen met een draai erin 
B: 	met een balk 
B: 	dus de de met een draaivoet en dan een vierkantje boven vierkantje in het midden en dan een soort van trapezium 
A: 	ja 
A: 	nummer vier zijn dat 
A: 	dit zijn de mok met de draaikolk die op een driehoek uitkomen 
B: 	ja 
B: 	F 
