A: 	ik hebben dat kop waarop je twee vierkant hebben bovenop maar die zijn die zijn draaien 
A: 	dus het zijn geen plat vierkant maar ze staan rechtop 
A: 	dus op het kop bovenin zo twee vierkant 
A: 	en daar komen nog wat dinge uit 
A: 	en hij hebben ook een neus en zo'n soort sik 
B: 	oké 
B: 	hij hebben hier ook zo'n zo 
A: 	ja hij hebben hier iets uit en dan hier zo'n zo'n zo'n sik 
A: 	sik die zo naar voren gaan 
B: 	ja aan de onderkant 
A: 	ja aan de onderkant 
B: 	ja 
A: 	onderkant van het kop 
B: 	dat zijn bij mij nummer M 
B: 	ik hebben dat een ding met dat die twee vierkant en die waar twee soort van verrekijker uit komen met dat sik 
A: 	ja met dat sik oké dat zijn nummer negen 
B: 	ja 
A: 	die met dat sik 
B: 	ja dat zijn H 
B: 	ik hebben met dat sik 
A: 	ja dat zijn nummer elf 
A: 	die met dat sik 
B: 	d 
B: 	met het sik 
A: 	ja dat zijn nummer veertien 
