B: 	ik noemen dit het de onderwijzer de leraar met stok 
B: 	het lijken op een uil dat zeggen maar zo staan met een stok omhoog 
A: 	ah ja 
A: 	nee daar hebben ik heel ander in 
B: 	hij hebben op het op zijn hoofd zeggen maar hebben die een ja ook iets zitten 
B: 	een vierkant of een rechthoek goed zeggen zijn arm lijken op een mislukken triangelvormig een kegelvormig hand 
A: 	ik kunnen hem niet zo snel vinden 
B: 	en hij hebben een dun stok in zijn aan de rechterkant 
A: 	aan de rechterkant dun aan de linkerkant zijn een een stok wat wel uitsteken met zo'n 
B: 	er opsteken niks uit uit het figuurt 
A: 	oké 
B: 	dus het zijn een heel klein stok wat rechtop staan zeggen maar 
A: 	ja ik zien hem 
B: 	ja 
A: 	ja 
B: 	heel goed 
B: 	ik willen net zeggen anders zijn ze ons aan het pranken 
A: 	het zijn een soort en hij hebben een soort van neus wat zo half ja 
B: 	ik zien het niet als neus ik inzien ver ik zien het niet alsof hij iets hebben 
A: 	er staan een blok op zijn hoofd en hij hebben een klein uitstulpinkje met een stok ja 
B: 	ja 
B: 	zoiets ja wat een beetje een een een kegelvormig ding hebben en hij staan dan zeggen maar zo voor mijn gevoel met een stok 
A: 	ja ja 
A: 	ja 
A: 	ja ja dat kloppen 
B: 	omhoog verticaal omhoog 
A: 	ja eigenlijk zijn het net zo'n goo als die we net hebben toch 
A: 	waar dat stok op staan 
A: 	volgens mij wel 
B: 	waar het stok op even kijken 
A: 	dat armp van hem zijn net zo'n net zo'n nou ja ik denken dat het gewoon ik dat zijn de enig waar ik een uil in kunnen zien 
B: 	ja hij hebben in ieder geval iets op zijn hoofd zitten en dat zijn zeggen maar gewoon een blok een lang een langwerpig 
A: 	ja een blok 
A: 	een langwerpig blok ja 
B: 	ja 
A: 	dan zijn het Numero acht 
A: 	dit zijn jou uil 
B: 	ja 
B: 	dan worden het E 
A: 	nee 
B: 	dit zijn het uil 
A: 	even kijken dat zijn het uilt 
A: 	ja dat zijn Numero één 
A: 	dit zijn de uil 
B: 	dat zijn nummer E 
B: 	dit gaan om het uilt 
A: 	het uil ik gaan hem even opzoeken 
A: 	duren lang 
A: 	ah Numero zestien 
A: 	de uil 
B: 	ja dat gaan om O 
