A: 	jou beurt 
B: 	oké bij mij ik vinden hem een beetje op een machinegeweer zeggen maar 
B: 	je moeten een AK47 in je hoofd nemen en dan ja je je zien echt zo'n handvat en een 
A: 	oeh 
B: 	en een magazijn maar misschien hebben ik te veel Battlefield spelen dat kunnen ook 
A: 	ja maar kalm dat kunnen ik ook dus we kunnen op dezelfde pagina zijn 
B: 	oké 
A: 	vooral Battlefield drie dat zijn dat zijn ziekelijk te wild 
A: 	maar hebben het zeggen maar zo'n zo'n zo'n langwerpig ik weten niet naar het dak toe zeggen maar 
A: 	of dat niet 
B: 	ja zeggen maar al al voorwerp zitten aan de bovenste kant van het heel dinge 
A: 	ja 
B: 	en helemaal bovenaan Linksboven in de hoek van dat dinget zien je heel klein zo omhooggaan 
A: 	hebben het lijken het misschien ook op zo'n zo'n tafel of zo met die poot 
B: 	ja maar dan in dan zien je maar twee poot 
A: 	twee oké 
A: 	ja oké dan zijn we op dezelfde Battlefieldpagina 
B: 	ja 
B: 	ja 
A: 	zestien 
A: 	ja de de Battlefield AK47 
B: 	P 
B: 	ik hebben die weer met die met die AK 
A: 	waar zijn van mij ? hier 
A: 	veertien 
A: 	de Battlefield 
A: 	AK47 Standaard 
B: 	ja 
B: 	N 
A: 	weer veranderen 
B: 	die AK 
B: 	de AK47 
A: 	ja 
A: 	tien 
A: 	die Battlefield 
A: 	pistool 
B: 	ja 
B: 	d 
