A: 	boven op het kop liggen bij mij weer zo'n ei 
A: 	en aan de voorkant hebben je dan een lang balk die naar beneden opsteken en nog onder het kop door gaan 
A: 	en aan de zijkant van het kop hebben je een soort van twee arm 
B: 	ja en aan de een kant zitten een hoek en aan de ander kant niet 
A: 	ja ja ja ja ja 
B: 	ja dan zijn dat D 
B: 	one's dit zijn het kop met die verticaal balk voor het kop 
B: 	en weer zo'n citroen op het kop 
B: 	en aan de linker en de rechterkant opsteken zo'n buis uit waarvan één buigen zijn aan één kant 
A: 	ja die die we al een keer hebben hebben 
B: 	ja ja 
A: 	ja oké 
A: 	bij mij zijn dat vijftien 
A: 	dit zijn met dat ei erbovenop en dan zo'n lang balk aan de voorkant 
A: 	en twee arm waar in één zo'n knik zitten 
B: 	ja dat zijn L 
B: 	bij deze zitten weer zo'n citroen of ei erop 
B: 	en die verticaal balk er eigenlijk tegenaan plakken 
B: 	en twee van die armpjes aan de zijkant 
A: 	zes 
A: 	dit zijn met dat ei bovenop 
A: 	die lang balk aan de voorkant die ver doorlopen en die twee arm 
B: 	ja ja dat zijn J 
A: 	met zo'n knik erin 
B: 	bij deze zitten weer dat ei erop 
B: 	en die balk aan de voorkant en de armp aan de zijkant 
A: 	dat zijn drie 
