B: 	oké 
B: 	dit lijken een beetje ik vinden hem altijd een beetje op een gezicht lijken er staan een heel groot cirkel voorop en er zitten drie van die 
B: 	soort van balk eromheen en met al aan al twee de kant drie van die rond 
A: 	oké 
A: 	ja 
B: 	weten je wel ? een soort van 
A: 	ja 
A: 	dan de 
B: 	ik zien het een beetje als staart of zo 
A: 	ja 
A: 	soort Pippi Langkous idee en dan ook een ondergrond 
B: 	ja achtig idee 
B: 	plateau eronder ja 
A: 	ja 
A: 	dat zijn bij mij nummer vijf 
B: 	oké 
A: 	dus vijf geel 
A: 	dit zijn weer die Pippi Langkous met die aan beide kant die drie vormp 
B: 	dit zijn J 
A: 	en de grond 
B: 	dit zijn die clown 
B: 	nou die Pippi Langkous bedoelen ik 
A: 	de 
B: 	met die staart 
A: 	ja met de staart 
B: 	ja ik zien er ook een clown in vanwege dat soort van platgedrukt neus voorop 
A: 	oké 
A: 	ja ik hebben dan ik hebben juist een ander als clown noemen dus 
A: 	ik hebben de clown met de bol neus 
B: 	ja 
A: 	maar dit zijn dus met de plat neus Pippi Langkous 
B: 	ja 
A: 	dat zijn elf 
A: 	dit zijn weer de Pippi Langkous 
B: 	ja 
A: 	dus met de twee 
B: 	P 
B: 	dit zijn die Pippi Langkous 
A: 	oké 
B: 	met die staart 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	dit zijn Pippi Langkous 
B: 	dit zijn L 
