B: 	en dit zijn ja zitten weer vier ding aan , dat zijn best wel vaak waaronder een ei 
B: 	aan de voorkant 
B: 	en een penseel of iets wat zitten erin 
B: 	en nog een staaf zitten erin 
B: 	en aan de linkerkant zitten nog een staaf 
A: 	oké 
A: 	ja 
B: 	dus aan de buitenkant hebben je een ei en een staaf 
A: 	ja 
A: 	dan zijn het nummer twee 
B: 	oké 
A: 	het ei in dit geval zitten aan de voorkant bovenop zijn er twee ding die erin steken aan de linkerkant zijn nog een uitstulpinkje 
B: 	dat zijn F 
B: 	bak met aan de voorkant een ei 
B: 	en een penceel die erin liggen 
B: 	niet te verwarren met het ander kop waar ook een ei op de voorkant zitten , met de zuignap 
B: 	dat zijn hem niet 
A: 	oké 
A: 	oké 
A: 	nee dan 
B: 	maar de ander 
A: 	dan zien ik hem 
A: 	nummer vijf 
A: 	de bak met het penceel en de de balk erin , aan de linkerkant een klein armp , aan de rechterkant een ei 
B: 	J 
B: 	bak met penceel en nog een stok erin en een ei aan de rechterkant 
A: 	nummer vier 
A: 	de bak met het penceel en de de balk erin 
A: 	aan de voorkant een ei 
B: 	G 
