A: 	ja ik weten niet waar ik dit op plaatsvinden lijken veel een soort van bak met zo het zijn een de die basisvorm en er zitten dan aan de zijkant zitten van die twee van die ding en er zitten bollet aan het uiteinde 
B: 	even loeren 
A: 	aan de achterkant zitten een schuin 
B: 	ja ik noemen dat de theepot maar 
A: 	oké zijn goed 
B: 	wat ik beschrijf als een theepot 
B: 	weten je die nog 
A: 	ja zijn dat diegene met die twee stok met die bollet 
B: 	ja ja 
A: 	oké ja dan zijn het nummer negen 
A: 	dit zijn diegene met die twee uitstekend stok met die bollet ik weten niet wat jij daarop vinden lijken 
B: 	ja 
B: 	F 
A: 	wachten 
A: 	ja 
A: 	ze gaan weer veranderen wat leuk 
B: 	ik vinden dit dus een theepot 
B: 	of een gieter 
A: 	wat welk zijn dat ook alweer 
B: 	met die armp en die bollet eraan 
A: 	ja theepot en gieter 
B: 	het lijken alsof 
A: 	zeggen maar twee van die arm en zo'n bolle zo 
B: 	ja 
B: 	het lijken alsof die aan één kant dus zeggen maar een soort van handvat hebben en dan met de ander kant zijn het een schenktuit 
A: 	dat zijn zo'n ah 
A: 	oké nummer drie 
A: 	deze vinden je op een theepot lijken 
B: 	ja vinden L 
A: 	we gaan weer switchen 
B: 	gieter of theepot 
A: 	ja 
A: 	even zoeken 
A: 	kunnen hem niet ja vijf 
B: 	bij mij staan 
