B: 	het soort van staart lijken een beetje pippi langkous achtig 
B: 	aan de voorkant zitten een rond 
B: 	en aan de achterkant linksachter zitten een soort van heel klein golf 
B: 	en het zijn aan beide zijd zijn drie diamantachtig 
B: 	wat op een staart lijken 
A: 	ja 
A: 	en zitten zitten er ook een plateau onder 
B: 	zitten een plateau onder ja 
B: 	ja 
A: 	ja 
A: 	oké 
A: 	een 
A: 	dit zijn die pippi langkousachtig staart aan de zijkant 
B: 	met een tafel eronder 
A: 	ja 
B: 	ja 
B: 	O 
B: 	drie diamant die aan de buitenkant eruit komen , staart , rondje voorin 
A: 	ja 
A: 	ja ik hebben hem 
A: 	vier 
B: 	ja 
A: 	die met die drie hoe heten dat , pippi langkous ding aan de zijkant 
B: 	ja ik hebben hem 
B: 	C 
B: 	staart drie 
A: 	ja 
A: 	drie 
B: 	staart drie dat zijn twee woord 
A: 	pippi langkous 
B: 	ja 
B: 	F 
