A: 	oké deze vinden ik heel vaag one's hij hebben een ruit bovenop en aan beide kant van die ruit steken er iets uit 
B: 	ja 
B: 	ja die vinden ik ook gek 
B: 	ik kunnen hem alleen even niet vinden 
B: 	ja 
A: 	ja en hij hebben nog drie ding ver één beetje onder en twee rechts 
B: 	een neus een arm en een voet zeggen maar 
A: 	ja nog zo ongeveer 
B: 	ja 
B: 	M 
B: 	ik hebben dat figuur met dat raar vierkant erop waar twee dinget uit steken 
A: 	ja 
B: 	en dan een neus een arm en een voe 
B: 	snapen je welk ik bedoelen 
A: 	wachten nog één keer 
B: 	er zitten zo'n vierkant er zo'n beetje schuin in en aan dat vierkant hangen twee dinget 
A: 	dat zijn toch een ander die ik hebben denken 
B: 	zeggen maar hij hebben dat vierkant een beetje schuin op zijn hoofd dat steken een beetje in zijn hoofd 
A: 	een beetje zo zo'n ruit 
B: 	ja 
B: 	ja een beetje draaien vierkant zeggen maar 
A: 	en dan bovenop 
B: 	ja erop en eraan zitten twee van die die blokkentorent weer 
A: 	ja ja ja en dan nog drie ding 
B: 	en dan een neus een armp en een voe 
B: 	ja 
A: 	dat zijn nummer negen 
A: 	hebben ik ook 
A: 	nou nu hebben ik weer die ruit erbovenop met twee ding aan de zijkant 
B: 	ja 
A: 	en dan drie armp 
B: 	ja 
A: 	been 
B: 	dat zijn bij mij H 
B: 	ik hebben die met dat met dat gekantelde vierkant erop met die twee blokkendos en dat heel raar figuur 
B: 	en dan met zoiets wat naar voren uitsteken een armp en een been 
B: 	die ruit 
A: 	ja die ruit ja 
B: 	ik zijn het woord steeds kwijt 
A: 	ja nummer elf ik willen zeggen 
B: 	ja 
A: 	ik hebben die met die ruit erbovenop met die twee blok ernaast 
A: 	dinget eraan 
B: 	d 
B: 	ik hebben dat figuur met de ruit erop met die twee dinget eraan en die drie uitstekel 
A: 	nummer veertien 
