B: 	geel knop 
B: 	one's ik weten niet zo goed wat dit zijn 
B: 	dit zijn de weinig uitbundig vorm maar hij hebben een balk plat erop liggen 
A: 	en zo'n schuin dak 
B: 	ja dat denken ik wel ja 
A: 	aan de zijkant zo'n soort van 
A: 	ja 
A: 	nummer acht 
A: 	dit zijn degeen die eigenlijk nergens op lijken met die balk aan de bovenkant 
B: 	waar zijn dat kreng ? ja E 
A: 	en zo'n schuin dak 
B: 	het zijn die een beetje nietszeggen met die balk erbovenop 
A: 	ja 
A: 	één 
A: 	dit zijn diegene nikszeggen met die balk bovenop 
B: 	waar zijn die 
B: 	E 
B: 	het zijn die met die balk erbovenop die een beetje nietszeggen 
A: 	ja 
A: 	ja zestien 
A: 	dit zijn die nikszeggen met die balk bovenop 
B: 	waar zijn die balk 
B: 	ja vinden O 
