A: 	hierin zien ik zelf een gieter 
A: 	dus dat komme en aan beide kant uitsteeksel met twee balle erop en aan de een kant hebben je eigenlijk nog een hendel 
B: 	ja 
A: 	en daarbij ook ja nog een een vlak een plateau 
B: 	ja ik hebben hem zelf ook gieter noemen 
A: 	oké 
B: 	dat zijn toevallig 
A: 	ja 
B: 	dat zijn K 
B: 	dit zijn die gieter 
A: 	ja 
A: 	dat zijn bij mij negen 
A: 	dit zijn weer de gieter 
B: 	dit zijn F 
B: 	dit zijn de gieter 
A: 	de gieter die staan ja 
A: 	dat zijn nummer drie 
A: 	dit zijn de gieter 
B: 	dat zijn L 
B: 	dit zijn de gieter 
A: 	de gieter ja 
A: 	dat zijn nummer vijf 
