B: 	hebben een bolle aan de voor ja rechtsvoorkant 
B: 	en aan de bovenkant zitten een recht rechthoekig staaf maar daarnaast een veel ronder vorm 
B: 	lang dinge 
A: 	een soort kegelachtig iets bedoelen je 
B: 	ja en dan aan de zijkant van het kop zitten nog een driehoekig staaf 
A: 	ja 
A: 	ja dat zijn veertien 
A: 	ja dit zijn het kop met het bolle aan de voorkant 
A: 	en bovenin een vierkant staaf en een kegelstaaf en link dan nog dat driehoekig staaf 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn die met het bolle aan de Rechtervoorkant en twee ding aan de bovenkant één zijn 
B: 	rechthoekig en de ander zijn kegelvorm en links nog een driehoekig staaf 
A: 	ja dat zijn negen 
A: 	dit zijn die met dat bolle rechtsvoor en boven die twee staaf die vierkant en de kegel 
A: 	en link dat driehoekig staaf 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn die met het bolle aan de Rechtervoorkant en dan twee dinget bovenop één zijn kegel en de ander zijn rechthoekig en dan links nog een nee driehoekig dinge 
A: 	ja 
A: 	driehoek ja 
A: 	dat zijn vijf 
A: 	dit zijn de met het bolle 
A: 	aan de Rechtervoorkant en die twee staaf boven de één een kegel de ander recht 
B: 	ja 
B: 	dat zijn J 
