A: 	even kijken dit plaat hebben aan de rechterkant een rond uitsteeksel alsof het een soort loep zijn 
A: 	en aan de linkerkant komen er een soort Pacmanvormig figuurt uit en daar komen dan nog één ja wat zijn het een soort 
B: 	bleekselderij ja wat het zijn het ja 
A: 	ja ja die komen er dan nog vanuit dat uitsteeksel komen die dan nog omhoog zeggen maar 
B: 	ja 
B: 	dat zijn L 
B: 	ja dit zijn weer die waar die rabarberstengel of die bleekselderij uit uit komen en dan aan de rechterkant zo'n plateau 
B: 	een rond plateau 
A: 	ja 
A: 	nummer zeven 
A: 	dit zijn je bleekselderij 
A: 	met aan de 
B: 	ah C 
A: 	ja 
B: 	de bleekselderij en het plateau aan de rechterkant 
A: 	ja 
A: 	nummer één 
A: 	en dit zijn de bleekselderij met het plateau aan de rechterkant 
B: 	dat zijn A 
B: 	met de rabarberstengel aan de linkerkant 
A: 	dertien 
