B: 	ja deze hebben een soort vlecht het zijn drie diamantvormig ding aan elk kant van zijn hoofd 
A: 	ja 
A: 	okee 
A: 	veertien 
A: 	deze hebben jij zeggen het anders maar ik zien een soort spiraal of vlecht 
B: 	ja 
A: 	ja 
B: 	met een cirkel 
A: 	plat cirkel aan de voorkant en een plateau eronder 
B: 	ja 
B: 	dan zijn het p 
B: 	deze hebben vlecht 
A: 	zestien 
B: 	en staan op een platform 
A: 	deze hebben vlecht 
B: 	waar zijn die blijven j 
B: 	vlecht 
A: 	drie 
A: 	vlecht 
B: 	dat zijn g 
