B: 	ok 
A: 	we mogen praten nou toch 
B: 	ja 
A: 	ok 
B: 	ik zullen deze omschrijven als een soort beker met een wafel er in 
A: 	wafel 
B: 	ja soort schijf die die zegmaar in zitten 
A: 	o 
A: 	zo'n schijf 
A: 	die ijsthee 
B: 	ah ja met een soort ja 
A: 	aight denken wel 
A: 	met een ding er in en zo'n lepel zo'n lepelachtig bovenkant er in ja 
B: 	ja ja met zo'n lepel er bovenin en nog er onder een soort iets ja een beetje plat ja 
A: 	ja ik denken 
A: 	zo'n 
A: 	ja a ja kijken ok 
A: 	ja ik weten wat het zijn 
B: 	ok 
A: 	ok nou dan moeten ik op die geel knop drukken 
B: 	nee dan moeten je dus eerst zeggen welk welk nummer erbij staan 
A: 	o ja nummer dertien 
B: 	en dan kunnen je op de knop drukken 
A: 	dan de geel knop 
A: 	o dit zijn dat ijstheegla wat ik de vorig keer hebben zeggen weten je wel met die lepel er in 
B: 	met het citroen er in lepel O 
A: 	jaja ja ja 
B: 	o ok nu krijgen we ze nog een keer opnieuw ik hebben ijsthee 
A: 	ja ijsthee ja ok even kijken acht 
B: 	dus met die ja 
A: 	ja 
A: 	ijsthee 
B: 	ja 
A: 	glas 
B: 	even kijken ja C 
B: 	ijsthee 
A: 	ok even kijken ja zeven 
A: 	ijsthee 
B: 	C 
A: 	o klaar o eindelijk ik hebben een beetje last van 
B: 	yes o mijn been 
B: 	hallo 
A: 	hallo 
