A: 	oké hij hebben twee van die deegrol hand handvat eraan zitten één doorgaan naar links en de ander gaan recht omhoog 
B: 	recht omhoog 
A: 	dus één deegrolhandvat recht omhoog 
A: 	één doorgaan naar links 
A: 	en rechts zitten er een soort van steeds klein wordend vierkant richting het midden 
B: 	steeds ja ja ja ja ja 
B: 	dus ze er zitten zeggen maar waar zijn die 
A: 	en ook nog een raar ding naar linksachter 
B: 	ja ik zitten zijn hem even aan het zoeken 
B: 	ja ik hebben hem 
A: 	ja 
B: 	ja ja ja dat zijn bij mij E ja E 
A: 	dan zijn het elf E 
B: 	elf E 
A: 	dan gaan we die vanaf nu deegrol noemen 
B: 	deegroller ? oké ja 
A: 	deegrol 
B: 	oké deze dit zijn deegroller 
A: 	oké 
B: 	F bij mij 
A: 	moeten ik hem eerst vinden 
A: 	F 
A: 	F elf 
A: 	deegrol 
B: 	even kijken 
B: 	ja J en bij jou 
A: 	drie 
B: 	J drie 
B: 	dit zijn de deegroller 
A: 	ja 
B: 	H 
A: 	negen H negen 
A: 	mijn deegrol 
B: 	ja even kijken 
A: 	twee 
B: 	B twee 
B: 	deze dit zijn die met de verrekijker maar dan met één ding de deegroller 
B: 	ja 
B: 	E 
A: 	dus deegroller 
B: 	deegroller 
A: 	E vier 
