B: 	nou deze die zijn wel we hebben het net over één die op een onderzetter staan 
A: 	aha deze zijn er niet doorheen zakken 
B: 	dat zijn deze 
B: 	deze zijn er niet doorheen zakken 
A: 	okee ja 
B: 	ja er zitten een een een soort van schijf aan de voorkant 
B: 	een soort van kraantje link 
B: 	en aan de achterkant zullen dat misschien ook zo zijn maar die zien je dan maar half 
B: 	en een een links en rechts achter het kop ook een aantal ja diamant 
A: 	kraalt ja 
B: 	kraalt 
A: 	nou dan weten ik hem ook 
B: 	ja 
A: 	ik gaan voor elf 
A: 	ah deze zijn het plateau waar die echt op staat 
A: 	met de kraal aan de achterkant erdoorheen 
B: 	ja 
A: 	en de kraant en het rond daarvoor 
B: 	okee dan gaan ik voor e 
B: 	deze zijn wel op zijn onderzetter blijven staan 
B: 	rond schijf aan de voorkant en diamantfiguur aan de achterkant 
A: 	ja dat zijn nummer een 
A: 	nou deze zijn die op dat plateau met die kraal aan de achterkant 
B: 	ja 
A: 	en ja die dus 
B: 	b 
B: 	deze staat nog wel gewoon op zijn onderzetter 
B: 	en kraalvorem aan de achterkant 
A: 	ja nummer zes 
A: 	kraal aan de achterkant staan op plateau 
B: 	p 
