B: 	de mok 
B: 	zijn helemaal doorboren door een platform 
B: 	soort van glijbaan als je die als je op die mok zullen gaan staan en je je die die komen op dat platform uit 
B: 	aan de linkerkant zitten een soort van L op zijn kant dus zo en dan zo 
B: 	en aan de bovenkant steken er twee dinge uit 
A: 	oké ja er zitten echt zo'n vierkant platform omheen een beetje midden onder 
B: 	ja 
A: 	ja 
B: 	lijken alsof die of dat die dat die mok erin zitten of dat die hem doorboort 
B: 	er komen dus een soort van glijbaan op uit 
A: 	ja 
B: 	twee van die dinget en dan een L op zijn kant 
A: 	ja dat zijn nummer zes 
A: 	deze hebben twee kort balkjes bovenuit steken naast elkaar 
A: 	en die hebben zo'n platform om zich heen 
A: 	een vierkant platform en dan zo'n glijbaan eruit en zo'n L 
B: 	ja zijn doorboren door een 
B: 	met de glijbaan 
B: 	ja dat zijn bij mij C 
B: 	dit zijn die die twee antenne hebben aan de bovenkant 
B: 	platform wat doormidden gaan de waterglijbaan en de L op zijn kant 
A: 	ja 
A: 	dat zijn dertien 
A: 	deze zijn met dat hoe noemen we dat nou dat platform rondom die kop en dan twee van die klein staafjes erbovenuit 
A: 	zo'n hoekig staaf aan de links kant en zo'n glijbaan 
B: 	ja de waterglijbaan 
A: 	ja 
B: 	ja ja ja dat zijn bij mij J 
B: 	dit zijn die met de waterglijbaan die zitten bij mij helemaal rechts 
A: 	ja 
A: 	met die twee balk erbovenuit 
B: 	ja ja 
A: 	ja nummer negen 
B: 	oké 
A: 	dit zijn met die glijbaan en dat one's platform 
B: 	ja dat zijn bij mij N 
