A: 	een bak weer aan de zijn een je aan de linkerkant van de bak zijn eerst een een een uitsteeksel en daarop staan nog een uitsteeksel 
B: 	ja 
A: 	en aan de rechterkant zijn een soort van een plank waar je hem 
B: 	een beetje rond plank of niet dan 
A: 	een rond plank , ja 
B: 	dat zijn L 
B: 	worden hier goed in 
B: 	een kop met aan de linkerkant een balk waar een spijker uitsteken 
B: 	op zijn timmeren 
B: 	en een rond plateau 
A: 	oké 
B: 	aan de ander kant 
A: 	dat zijn nummer zes 
A: 	de bak met aan de rechterkant een rond opzettafeltje , plank 
A: 	aan de linkerkant een , nog een uitstulping , met een groot uitstulping erop 
B: 	H 
B: 	kop met aan de linkerkant een staaf met een spijker of jij noemen het net iets ander 
B: 	ik weten niet veel wat je zeggen 
A: 	met de spijker 
B: 	ja 
B: 	en aan de rechterkant een rond plateau 
A: 	ja 
A: 	nummer drie 
A: 	aan de rechterkant zijn het rond plank 
A: 	opzettafel 
A: 	linkerkant een uitstulping met een lang 
B: 	A 
B: 	met 
B: 	ik hebben net de verkeerd kiezen 
B: 	link de link namelijk de pilaar met een spijker eruit , rechts een rond plateau 
A: 	ja dat zijn nummer tien 
