A: 	ik noemen deze eigenlijk de serveerster met een trompet het zijn een soort van poppe die hebben een hand en daar zitten een soort van ding steken eruit 
B: 	ja 
A: 	en dan aan in de ander hand zitten een soort van dienblad 
B: 	wat grappig ja 
B: 	ik noemen dat de spijker in de arm 
A: 	ja kunnen ook 
B: 	dus een plateau inderdaad en aan de linkerkant zitten een uittulpsel met daarin weer wat 
A: 	ja 
B: 	dan gaan het om L 
B: 	dit zijn jou dienblad met spijker 
B: 	met trompet zeggen maar 
A: 	oeh wachten even moeten ik even weer zoeken waar die staan 
A: 	ah ja ik hebben hem 
A: 	dat zijn Numero zeven 
A: 	dit gaan over de serveer serveerder met de trompet 
B: 	jou serveerster of mijn serveerster 
A: 	nee mijn serveerder met de trompet 
B: 	gaan het om 
A: 	of met de spijker 
B: 	gaan het om C 
B: 	dit zijn de serveerster met de trompet slash spijker 
A: 	dat zijn Numero één 
A: 	de de serveerder met de trompet 
B: 	dat gaan dan om a 
B: 	dit gaan om de spijker serveerster 
A: 	serveerster even kijken ja Numero dertien 
B: 	trompet 
