B: 	deze hebben een vierkant schijf aan de voorkant 
B: 	en aan de linkerkant dezelfde figuur maar dan twee keer en dat zijn ja dobbelsteentjes die dan van groot naar klein gaan 
A: 	ja 
B: 	en hij hebben aan de bovenkant ook nog een soort van 
A: 	bovenkant 
A: 	ja antenne of zo ja 
B: 	ja 
A: 	dat zijn nummer een 
A: 	dit zijn de twee kubus die van klein naar groot aan de linkerkant zitten er zitten er twee 
A: 	zijn gelijk 
B: 	en 
A: 	bovenaan bovenaan zitten een soort antenne en dan een vierkant dinge eraan 
B: 	aan de voorkant ja die vierkant schijf aan de voorkant 
B: 	dat zijn d 
A: 	ja 
B: 	vierkant schijf aan de voorkant soort van joystick aan de bovenkant en twee identiek dobbelsteen 
A: 	twee 
A: 	ja 
A: 	zestien 
A: 	ja 
B: 	ja 
A: 	zestien 
A: 	dit zijn het vierkant plaat vooraan 
B: 	ja 
A: 	met weer een antenne daarboven en link twee dezelfde 
B: 	yes de joystick aan de bovenkant 
B: 	dat zijn i 
A: 	ja 
A: 	de joystick 
B: 	ja hondenkluif ja 
B: 	okee vierkant plateau aan de voorkant plakken aan de linkerkant 
B: 	twee identiek vormp lijken kubus die steeds klein worden en joystick aan de bovenkant 
A: 	ja 
A: 	dat zijn nummer een 
A: 	vierkant plaat met de joystick 
A: 	nee vierkant plaat aan de voorkant joystick 
B: 	yes even kijken waar zitten die 
B: 	ah ja ja ja dat zijn l 
