A: 	ja dit zijn de de vogel of de Eend 
B: 	een vogel 
A: 	zo zo vinden ik hem nee ? hebben je dat nooit ? oké 
B: 	nee 
B: 	oké 
A: 	hij hebben aan de rechterkant hebben die zeggen maar twee twee balk onder elkaar 
B: 	ja ja zijn zo'n soort istek 
A: 	en dan hebben die een hanenkam 
A: 	sorry 
B: 	ja 
B: 	zo'n soort istek 
A: 	ja 
B: 	ja ja 
A: 	ja en dan hebben die een hanenkam en dan hebben die dus zeggen maar aan de linkerkant hebben die een een soort staart zeggen maar een floeps 
B: 	ja zo'n soort ja 
A: 	en hij hebben dan twee een soort van vleugel 
B: 	met zo'n 
B: 	ja 
B: 	ja ik vinden het veel een soort istek maar het zijn inderdaad wel een soort vogel dus dat zijn bij mij I 
A: 	oké 
B: 	oké nou hebben ik die vogel 
A: 	ah leuk 
A: 	even zoeken ah ja 
B: 	in zo'n web zo ja 
A: 	dat zijn nummer twee 
A: 	de vogel hebben ik 
B: 	oké even kijken dat zijn bij mij M 
B: 	nu hebben ik die vogel 
A: 	ja 
A: 	nummer negen 
A: 	dus ik hebben de vogel 
B: 	de vogel dat zijn F 
B: 	kunnen ook niet 
B: 	die vogel 
A: 	ah nummer zes 
