B: 	het voelen een beetje als een ballerina 
B: 	in het midden zijn een soort van vierkant 
A: 	en er zitten twee stok aan de achterkant 
B: 	ah 
B: 	het hebben ook zo'n achterkant , soort van lang neus aan de voorkant en aan de linkerkant 
A: 	omhoog 
A: 	en nog één 
A: 	ja 
A: 	twee 
A: 	een tafel een beetje of een plateau door de door het kop heen in het midden met de slurf eruit en twee dinge omhoog 
B: 	ja 
B: 	ja twee precies klein dinge 
A: 	ja 
B: 	J 
B: 	soort van vierkant dwars door het kop heen 
B: 	een groot neus naar voren staand 
B: 	aan de linkerkant blokachtig figuur en twee precies heel klein dinge bovenop 
A: 	ja 
A: 	veertien 
A: 	een tafel door het midden van de van het kop heen 
B: 	ja 
A: 	voorin een slurf 
A: 	bovenin twee klein dinge , links zo'n vierkan 
B: 	ja 
B: 	G 
B: 	tafel eromheen 
B: 	neus naar voren , twee klein dinge erop 
A: 	ja 
A: 	tien 
A: 	tafel halverwege 
A: 	bovenin twee klein dinge 
B: 	ja 
B: 	M 
