A: 	okee 
A: 	dit zijn een kop 
A: 	met een ja soort cilinder 
A: 	zitten er een beetje doorheen boord 
A: 	met aan uiteinde een extra dop of kno of wat dan ook 
B: 	ja ja 
A: 	en aan de rechterkant steken die veel uit dan aan de linkerkant 
A: 	en beetje links schuin achter zitten nog één of ander plateau 
B: 	ja een soort van zonne-energiepaneeltje aan de achterkant ja 
A: 	ja precies ja zo kunnen 
B: 	ik weten het anders ook niet ja 
A: 	ja precies die ja 
B: 	okee ja ik denken ik hem wel weten 
A: 	okee 
B: 	ik gaan voor c 
B: 	ah ja 
B: 	ja hier dit zijn het kop waar zelf niks op zitten zeggen maar 
B: 	maar waar aan de achterkant een soort van rond staaf liggen met uiteind bolle 
B: 	en een een een zonne-energiepaneeltje weten je nog 
A: 	ah ja ik weten hem 
A: 	ja 
B: 	ja 
A: 	nummer drie 
A: 	nou dit zijn de kop met het zonnepaneel beetje linksachter en de cilinderstaaf die erdoorheen zijn douwen met twee dop 
B: 	ja 
B: 	alright dan gaan ik voor à 
B: 	kop met aan de achterkant een hoe heten het een soort pen met met bollet aan de aan beide kant en een zonnepaneel 
A: 	waar zijn ons zonnepaneel 
A: 	moeten hem echt zoeken 
A: 	ja dat zijn nummer een 
A: 	deze zijn met ons zonnepaneel 
A: 	aan ja erdoorheen dan die cilindervorm 
B: 	ik gaan voor b ja 
A: 	ja 
B: 	nou ja 
B: 	zonne-energiedak 
A: 	ja nummer drie 
