B: 	ja dit vinden ik een soort geweer die die langs zijn hoofd hebben maar volgens mij hebben jij het straks over een tafel waar die iets diep in zitten 
B: 	en dan met zo'n blok aan de rechterkant nog 
A: 	ja 
A: 	oké 
A: 	ja ik weten welk het zijn dat zijn zestien 
A: 	oké dit zijn de diep wasbakding met dat vierkantje zo aan de voorkant 
B: 	ja dat zijn P 
B: 	dit zijn die diep door de tafel heen 
A: 	even zoeken 
A: 	zijn die er 
A: 	waar zijn die 
A: 	diep door de tafel heen 
A: 	ja ik hebben hem vinden 
A: 	dat zijn veertien 
A: 	dit zijn de diep sink of die dat met het geweer 
B: 	ja dat zijn N 
B: 	die heel diep door de tafel of het geweer 
A: 	ja maar waar staan die 
A: 	tien 
A: 	dit zijn die diep gootsteen 
A: 	of de of het geweer 
B: 	ja dat zijn D 
