A: 	oké ik vinden deze heel leuk want ik noemen deze met de twee uitstekend tampon 
A: 	dus er zitten aan de bovenkant zitten zo'n fliebel en aan de linkerkant ook en dan zitten er aan de rechterkant zitten zo'n vierkant torendingetje 
A: 	maar het veel opvallen zijn de de de aan de bovenkant en aan de linkervoorkant een soort van tamponvormig raketachtig dinge 
A: 	of misschien konijnenor 
B: 	ik denken misschien dat ik hebben die aan de achterkant zo'n zo'n knikten staart 
A: 	ja achterkant ook nog een soort van staart of zo 
A: 	ja ja 
B: 	en dan aan de aan de rechterkant zo'n blok met klein blok 
A: 	ja 
A: 	ja 
B: 	oké 
B: 	dat zijn E bij mij 
B: 	dit zijn die tampon van jou 
A: 	oké even zoeken 
A: 	dat zijn elf 
A: 	dit zijn die met de tampon 
B: 	waar staan die 
B: 	ja 
B: 	J 
B: 	dit zijn de tampon 
A: 	dat zijn negen 
A: 	dit zijn die met de tampon 
B: 	ja dat zijn B 
B: 	dit zijn de tampon 
A: 	vier 
