A: 	oké 
A: 	deze hebben een een rond plateau aan de rechterkant en dan een soort uitstekend toeter links 
A: 	die op een soort ja hartjesvorm die daar zo in priken staat 
B: 	ja 
B: 	en dat ja er zitten inderdaad zo'n steek aan 
A: 	ja een soort toeter of zo ja 
B: 	ja ja dat zijn L bij mij 
B: 	ja die zijn ook een beetje vaag 
A: 	en ook een beetje raar 
B: 	oké ik hebben weer inderdaad dat plat schijf aan die kant en dan een soort van hartje wat eruit opsteken 
B: 	met die toeter 
A: 	ja ja precies nummer zeven zijn dat bij mij 
B: 	oké 
A: 	deze zijn weer met dat plateau aan de zijkant en dan dat soort hartje waar die toeter uit komen 
B: 	ja ja dat zijn C bij mij 
B: 	weer dat hartje dat uitsteken en die toeter 
A: 	ja 
A: 	nummer één 
A: 	dit zijn weer het plateau aan de een kant har met toeter aan die kant 
B: 	dat zijn A bij mij 
B: 	top 
B: 	weer dat hartje dat uitsteken met de toeter 
A: 	nummer dertien 
