A: 	o deze lijken op Flappy Bird 
B: 	wat 
A: 	o misschien moeten je dat zien als je zeggen maar het zijn gewoon die mok dan en daarboven zitten nee aan de rechterkant zitten zeggen maar een istek 
B: 	ja nu zien ik hem ja ja ik hebben die gewoon omschrijven als istek maar inderdaad Flappy bird kloppen ja I 
A: 	dat zijn wat jij net zeggen 
A: 	ja 
A: 	ja 
B: 	Flappy Bird 
A: 	ja die weten ik meteen twee 
A: 	Flappy Bird 
B: 	even kijken waar zitten die o daar ja M 
A: 	voor jou 
B: 	even kijken flappy Bird 
A: 	goed zo 
A: 	negen 
B: 	damn Flappy Bird zijn echt een goed 
A: 	ja ik zullen ik zijn even naar dat ding aan het kijken o o negen trouwens nou en ik denken van 
B: 	ja 
A: 	eerst zien ik er niks in en toen zeggen het lijken het op een mens en toen kijken ik even goed en toen lijken het Flappy Bird 
B: 	ja 
A: 	Flappy Bird 
B: 	ja 
A: 	bij mij zitten hij onderin niet voorzeggen 
B: 	ja F 
B: 	Flappy Bird 
A: 	ja zes 
