A: 	oké 
A: 	er staan nu één of een rood vierkant om 
A: 	ja er zijn een een bol aan de bovenkant 
A: 	boven op het kop 
A: 	en er staan voor het kop iets naar de rechterkant van van ons zien 
A: 	staan één ja een rechthoekig ding zeggen maar 
A: 	en het zijn hij hebben een soort van soort van arm zeggen maar aan de zijkant zitten 
B: 	zijn het D 
A: 	zullen kunnen 
B: 	ja bij mij heten die D dus 
A: 	ja 
A: 	oké 
B: 	oké 
B: 	nou 
B: 	nu hebben we weer een kop 
B: 	het balle zitten erbovenop 
B: 	met die twee armpjes die eruit staken en die balk ervoor 
A: 	even kijken 
A: 	dat die hebben we al eerder met dat 
B: 	met het balle erop 
B: 	ja 
A: 	ja oké dat zijn vijftien voor mij 
B: 	oké 
A: 	dit zijn die met de bol erop 
A: 	en dat dat die rechthoek ervoor en die twee armp 
B: 	oké dat zijn L 
A: 	oké 
B: 	het zijn weer het bolle aan de bovenkant 
B: 	met de twee armp en de balk ervoor 
A: 	ja oké dat zijn zes 
A: 	oké dit zijn weer het bolle erop de twee armp aan de zijkant en de blok ervoor 
B: 	zijn J 
B: 	twee armp ballet en de balk ervoor 
B: 	en het balle erop 
A: 	ja ja 
A: 	drie zijn dat 
