B: 	ik hebben het rood vierkant dus dan moeten ik gaan uitleggen 
A: 	ja 
B: 	het zijn een een een een een kop en aan de onderkant zitten een ovaal standaard zeggen maar het kop staan daarop 
B: 	en 
A: 	zitten er een driehoek op 
B: 	nee er zitten geen driehoek op 
A: 	er zitten geen okee een ovaal Standaard 
B: 	rechtsboven zitten er een soort van op zijn kop kegel wat een beetje op een mini-cactus blobje lijken zeggen maar 
B: 	en link zitten een een gewoon een staaf en daarachter zitten een plat rond cirkel 
A: 	daar zitten een rond 
A: 	ja 
B: 	ja 
A: 	een cactus ? dat vinden ik niet maar gewoon zo maar 
B: 	nou ja je je hebben toch van die cactusprop 
A: 	ja okee ja 
B: 	maar dus 
A: 	en het staan zeggen maar op zo'n ovaal ding ja zo'n pilvorm zijn het 
B: 	ja het belangrijk zijn dat het een soort van houder hebben waar het op staan zeggen maar 
A: 	ja inderdaad en dan zo'n stok aan de zijkant en een rond ja 
B: 	de 
B: 	ja links en stok en rechts die cactus en daarachter het rond 
A: 	okee 
A: 	ja dan zijn het nummer een bij mij 
A: 	even kijken deze staan op die pilvorm 
A: 	met die dat cactusding erin en het rond aan de achterkant en de staaf erin 
B: 	ja dat zijn nummer of nummer sorry letter letter n 
A: 	link 
B: 	hee ze versprongen weer 
A: 	ja 
B: 	ja dit zijn weer de aan de onderkant een houder een ovaal houder en een minicactus aan de rechterkant en een schijf aan de achterkant 
A: 	ja en dan nog zo'n ding links 
B: 	ja 
A: 	yes kijken nummer veertien 
A: 	dit zijn die op die pilvormig standaard met nog een rond erachter en een cactusding erin 
B: 	ja dat zijn d 
B: 	dit zijn de de pilvormig aan de onderkant en rechts een minicactus 
A: 	ja dat zijn twaalf 
A: 	dit staan op die pilvormig onderkant 
B: 	en de het lepel 
A: 	met het lepeltjeding erin 
B: 	ja dat zijn p 
