B: 	ik hebben het doen me altijd aan gamen denken 
B: 	zo'n joystick bovenop en zo'n vierkant plaat aan de zijkant 
A: 	ja 
B: 	en twee van die verrekijkertjes aan de zijkant 
A: 	ik denken dat ik weten welk je bedoelen 
A: 	een joystick 
B: 	of een paddenstoel 
B: 	lijken erbovenop te vaststaan 
B: 	met twee van die verrekijker eigenlijk aan de zijkant 
A: 	ja ja ja 
A: 	ja 
A: 	ja dat zijn nummer twee bij mij 
A: 	en dan hebben die zo'n plaat aan de zijkant toch 
B: 	ja 
A: 	ja 
A: 	die die verrekijker met die met die plaat die gamer 
B: 	ja 
B: 	dat zijn G 
B: 	de gamer 
A: 	ja dat zijn negen 
A: 	die met die verrekijker die gamer 
B: 	oké dat zijn D 
B: 	de gamer 
B: 	met de twee verrekijker 
A: 	ja dat zijn nummer één 
A: 	die met die verrekijker die gamer 
B: 	ja 
B: 	ja 
B: 	B 
