A: 	nou deze hebben een soort van plateau aan dat kop vast als het zijn 
A: 	en aan de dat zijn aan de rechterkant 
B: 	oké ja 
A: 	en aan de linkerkant hebben hij ook een gek uitsteeksel met nog een gek uitsteeksel daar bovenop 
B: 	ah 
B: 	ja ja ja 
B: 	ja echt zo'n soort tafel aan de zijkant zegmaar 
A: 	ja precies 
A: 	ja 
B: 	ja oké dat zijn O 
B: 	ja dit zijn weer die met dat zijtafel 
B: 	zegmaar 
A: 	oké ja dat zijn even zoeken vijfteen 
A: 	oké ja dit zijn weer met zo'n tafel er naast 
B: 	ja die met het tafel 
A: 	ja precies 
B: 	oké 
B: 	even kijken waar hij staan 
B: 	ja dat zijn F 
A: 	nu hebben ik niks ook niets 
B: 	oké nee dan denken ik dat het deze zijn , maar nu zijn het , dat zijn met het tafel , ik denken dat je die bedoelen 
B: 	maar het zijn ja dat zijn die ander het zijn wel A , nou ja 
A: 	sure ja oké ja nee duidelijk 
B: 	ja 
A: 	nee ja nee tuurlijk dat zijn zeggen maar 
B: 	allebei een soort van dienblad 
B: 	nou ja 
A: 	maar zijn ik nu dan of 
A: 	want ik hebben geen ding aangekruist 
B: 	ja als dan moeten jij nu de goed zeggen alsnog 
A: 	dit zijn weer de tafel sure 
A: 	dit zijn het tafel 
B: 	ja met dat ja tafel zijdingetje 
A: 	oké ja even zoeken achten 
A: 	ja dit zijn weer met dat tafel 
B: 	ja het tafel oké dat zijn E 
B: 	ja dit zijn weer dat tafel 
A: 	oké dertien 
B: 	ja 
