B: 	oké dit ding hebben twee klein stokjes op de bovenkant 
A: 	even kijken 
B: 	en aan de linkerkant zitten een soort van uitsteeksel in met een hoek 
A: 	ja en dan met zo'n plaat door de midden 
B: 	met een plaat in het midden ja 
A: 	ja oké 
A: 	ja dat zijn zes 
B: 	oké 
A: 	oké dit zijn zegmaar weer met zo'n plaat in door het midden van de kop heen 
A: 	en twee van die cilindert erboven zegmaar 
B: 	ja 
B: 	ja ja oké dat zijn A 
B: 	ja dit zijn weer met die plaat er doorheen , met die klein , dinget ja 
A: 	ja met die twee uitsteeksel Erboven 
A: 	ja dat zijn twaalf 
B: 	ja 
A: 	deze zijn met zo'n plaat er doorheen , gewoon door de heel kop heen 
A: 	zo'n plaat en twee van die dinget bovenaan 
B: 	ja 
B: 	waar staan hij ? ja oké dat zijn F 
B: 	dit zijn die met die plaat in het midden 
A: 	ja dat zijn zestien 
B: 	met die dinge aan de bovenkant 
A: 	dit zijn met het blad er doorheen 
B: 	oké even kijken ja dat zijn G 
