A: 	ik hebben bovenop het zijn een soort vleugel het zijn een ruit en daar komen aan allebei de kant twee 
B: 	ja volgens mij weten ik hem al 
B: 	c 
B: 	die ruit met die twee uitstekend ding bovenop 
B: 	die soort van vleugel wat je zeggen 
B: 	onderaan zitten zo gehoekt staaf 
B: 	die een negentig graad eigenlijk naar jou toekomen 
A: 	ja 
B: 	en aan de rechterkant ook zo'n een negentig graad die ook alleen aan de zijkant zitten die 
A: 	ja dus die links komen naar je toe 
B: 	ja ja ja 
A: 	vijf 
B: 	okee 
A: 	ik hebben die een met die met die vleugel die ruit en dan die twee vleugel aan de bovenkant 
B: 	een ruit met twee ja ja b 
B: 	ik hebben die ruit bovenop met die twee vleugel die twee doos die groot worden 
A: 	ja 
A: 	veertien 
A: 	ik hebben de vleugel en de ruit 
B: 	ja 
B: 	dat zijn p 
B: 	de de ruit met de vleugel aan de bovenkant 
A: 	ja zeven 
