B: 	nou ja dit zijn een een kop er liggen een een balk op 
B: 	en er zitten twee lampenkapvormig uitsteeksel aan 
B: 	nog nog een driehoekig tobleronereep die zich er die er ook uit opsteken en daar zitten nog een minicilindertje op 
B: 	maar hij zijn het veel herkenbaar aan de aan de balk erop 
A: 	ja ik denken dat ik hem zien dus die balk en dan inderdaad aan de aan de zijkant aan de linkerkant hebben je een soort van vorm die naarmate die naar beneden gaan 
A: 	veel uitsteken zeggen maar 
B: 	ja ja ja ja 
A: 	ja oké dat zijn acht voor mij 
B: 	N 
A: 	oké 
A: 	deze hebben de balk aan de bovenkant erop 
B: 	die ja 
A: 	en aan de voorkant inderdaad dat dat uitstekend driehoek met het cilindertje erop 
B: 	ja E 
A: 	oké 
B: 	het zijn weer de een met het blok op op het ding 
B: 	de twee lampenkap en de cilinder op de toblerone 
A: 	ja oké dat zijn één voor mij 
A: 	oké met die balk erop 
A: 	en en het uitsteeksel met de cilinder en met het cilindertje erop 
B: 	ja 
B: 	zijn E 
B: 	mooi 
B: 	het zijn die een weer met het blok op de het blok erop en de lampenkap aan de zijkant 
A: 	even kijken 
B: 	met balkje erop 
A: 	waar staan die nou 
A: 	ja 
A: 	met die cilinder op de toblerone 
B: 	ja 
A: 	dat zijn zestien 
B: 	ja 
A: 	ja oké de balk erbovenop 
B: 	balk erbovenop 
A: 	en de toblerone met de cilinder erop 
B: 	zijn O 
