A: 	oké het zijn één ja een dinge wat dan ik hebben hier de in gedachte een poppe op één been een beetje zeggen maar 
A: 	en die hebben zo'n armpjes hebben houden die zo 
A: 	en dan hebben hij echt een rond hoofd wel 
B: 	die een beetje achterop zitten zeggen maar 
A: 	ja het zitten een beetje achterop en dan daarvoor ook nog zo'n ja zo'n balk 
B: 	ja een paal waar die aan vastzit 
A: 	ja 
B: 	ja 
B: 	dan zijn het D 
B: 	deze hebben we al hebben 
B: 	met die balk vooraan en dan daarachter een soort van lichaam met die arm zo en boven op het hoofd 
A: 	ja 
A: 	nummer vijftien 
A: 	dit zijn dat poppe met één zo'n balk voor die twee armp zo en dat rond hoofd 
B: 	ja 
B: 	L 
B: 	dit zijn het poppe met die balk en die armpjes aan allebei de kant en dat hoofd bovenop 
A: 	even kijken waar die zijn 
B: 	weten je welk ik bedoelen 
A: 	met die 
B: 	die een beetje bol lijken beetje dikkig 
A: 	met die ik komen echt niet op het woord die balk ook nog vooraan 
B: 	ja 
A: 	ja oké nummer zes 
A: 	dit zijn dat poppe met die twee armp zo en die 
B: 	die paal voorop 
A: 	ja 
B: 	J 
B: 	het poppe met die balk vooraan en die armpjes 
A: 	even kijken waar die zijn 
A: 	ja nummer drie 
