B: 	oké 
B: 	even kijken 
B: 	deze hebben het ei van voor 
B: 	maar dan niet doorboren 
B: 	en dan ook zo van die drie van die ander klein dinge zo erop en één er link van 
A: 	ja 
A: 	zo'n soort van staart hebben die hier of zo 
B: 	zoiets 
A: 	ja 
A: 	oké dat zijn veertien 
A: 	dit zijn dat met dat ei aan de voorkant 
A: 	alleen niet zoveel spannends 
A: 	weer die buttplug 
B: 	het het nietdoorboord ei en nog een ander buttplug ja 
A: 	ja 
A: 	en die wolkenkrabber er zeggen maar bovenop dan 
B: 	ja een miniwolkenkrabber en een gigantisch buttplug 
A: 	ja 
B: 	dus dat zijn N 
B: 	dit zijn weer die met het ei van voor 
B: 	met de gigantisch buttplug en de klein wolkenkrabber 
A: 	die niet doorboren zijn 
B: 	nietdoorboord ei 
A: 	dat zijn negen 
A: 	dit zijn weer dat gewoon dat ei op de voorkant 
A: 	en die wolkenkrabber en die buttplug 
B: 	ja dus G 
B: 	dit zijn die met het ei van voor en de buttplug en de wolkenkrabber erop 
A: 	ja dat zijn vijf 
A: 	dit zijn weer dat ei met die wolkenkrabber erbovenop 
B: 	dus J 
