A: 	ja deze hebben aan de rechterkant een soort mun of een schijf met een stok die hem vastmaken aan de beker 
A: 	of aan het groot geheel en dan aan de linkerkant hebben het een soort heel uitgerekken pacmanvorm met zo'n soort spijker erin 
A: 	het hebben zijn zeggen maar aan de linkerkant ja er er opsteken dan zo'n ding horizontaal uit en in dat uitgesteken ding 
A: 	steken weer iets zeggen maar zo schuin van boven naar achter daar in 
B: 	nou ik weten totaal niet waar je het over 
A: 	nee ? 
A: 	even kijken dus je hebben gewoon nou je hebben al bekervormen 
B: 	ja 
A: 	en dan hebben je w rechtsonder hebben je een soort schijf dat horizontaal er half tegenaan afhangen 
A: 	en dat schijf worden worden zeggen maar vastgemaakt aan de kop met een 
B: 	o zo'n plateau 
A: 	heel klein 
A: 	ja ja ja dat plateau en dan links daarvan ja zijn toch dat zijn zeggen maar zo'n heel lang uitgerekte breed pacman en daarin 
B: 	ja 
B: 	o dan de pacman ik zien de pacman 
B: 	ja 
B: 	ik denken je willen heel groot maar je hebben een lang 
A: 	nee ja precies ja en daarin opsteken dan die het lijken op een beetje op een spijker op zo'n naald of wat dan ook 
B: 	ja ok dat zijn dan de L voor mij 
A: 	ok 
B: 	dit zijn weer met dat tablau plateau met die uitgerekte pacman en die spijker 
A: 	ja 
A: 	ja ja ja ok dat zijn zeven 
A: 	ja dit zijn die met dat raar rond plateau dat er tegenaan zitten met die uitgerekte pacman en die spijker erin 
B: 	dat zijn voor mij C 
A: 	ja 
B: 	ok dit zijn met het rond plateau en de uitgerekte pacman en de spijker 
A: 	ja dat zijn één 
A: 	dit zijn die met dat plateau en de uitgerekte pacman en een spijker in pacman 
B: 	dat zijn voor mij A 
B: 	dit zijn met het rond tableau met een uitgerekte pacman en een spijker 
A: 	ja 
A: 	dat zijn dertien 
