A: 	ah 
A: 	nu staan er zo'n scheef kegel achter bovenop een beetje zo'n man bun zeggen maar 
B: 	ja 
A: 	en dan aan de voorkant zo'n neus of zo'n ei met zo'n staaf erdoorheen en dan 
B: 	en aan de achterkant een schotel 
A: 	nee 
A: 	en dan je hebben aan de voorkant zo'n eivorm 
B: 	ja 
A: 	daar doorheen zitten zo'n staaf zo'n zo'n rechthoekig staaf en dan 
B: 	ja ja 
B: 	aan de achterkant zitten iets 
A: 	en aan die staaf zitten nog zo'n cirkel 
B: 	ja precies ja wat dunn cirkel 
A: 	ja 
A: 	ja 
B: 	okee dan weten ik het dan zijn het d 
B: 	deze zijn met die bal en die de die die rechthoek met die bal en die die dat schotel erdoorheen aan de voorkant 
B: 	waarbij je dus op de bovenkant zo'n zo'n mini kegel hebben 
A: 	ja die zo scheef naar achter staan 
B: 	of 
B: 	ja precies 
A: 	okee dat zijn drie 
A: 	dit zijn ook met zo'n bal aan de voorkant maar dan waar die staaf doorheen gaan en dan rechts nog zo'n cirkel aan zitten 
B: 	ah ja ja en daar bovenop staan nog een ding 
A: 	ja 
B: 	ja dat zijn c 
B: 	dit zijn de met die met dat rechthoek en die waar een bal die dat rechthoek gaan door een bal en een een eindigen bij een schotel 
A: 	ja ik weten al welk het zijn twee 
B: 	okee 
A: 	dit zijn met die bal Erboven waar die staaf doorheen gaan met dat cirkel eraan 
B: 	zitten die aan de voorkant 
A: 	ja 
B: 	okee 
B: 	ja en dat kegel bovenop 
A: 	ja 
B: 	minikegeltje 
A: 	nee ja ja dat zo ja dat klein kegeltje kloppen ja 
B: 	ja okee 
B: 	dat zijn n 
B: 	dit zijn met een in ieder geval die die rechthoek rechthoekig staaf waar die bal in zitten en eindigen met een schotel 
A: 	ja twee 
