B: 	nu hebben ik toch het vierkant 
A: 	ja 
B: 	ze zeggen dat ik het niet zullen hebben 
B: 	oké dus ik moeten het beschrijven toch 
A: 	ja 
B: 	ja 
B: 	ik vinden die dat die een beetje op een vogelhuis lijken die hebben zo'n steel aan de linkerkant en zo'n 
B: 	rond plaat linksachter 
A: 	even kijken hoor 
A: 	hebben die er iets bovenop zitten 
B: 	ja rechts bovenop zitten ook nog zo'n uitgerekt soort van ovaal dinge 
A: 	even kijken hoor 
A: 	oké 
A: 	dit zijn echt moeilijk nog best wel 
A: 	oké 
B: 	het steunen ook op iets dat 
A: 	op een op gewoon een een plat iets of zijn het een kromme waar die op steunen 
B: 	het zijn iets ronds 
B: 	ronds en Langwerpigs 
B: 	daar steunen het op 
A: 	hebben die een soort van deksel 
A: 	zeggen maar dat dat er een soort van rondje achter zitten 
B: 	ja er zitten een een cirkel achter 
A: 	ja 
A: 	eigenlijk bestaan die uit één twee drie vier vijf deel ongeveer 
B: 	ja vijf inderdaad 
A: 	oké 
A: 	ja nee dan weten ik wachten dan moeten ik het zeggen 
A: 	oké dat zijn dertien 
A: 	wat denken jij dat dit ook weer zijn 
A: 	dit zijn met die basis en met een soort van dekseltje 
A: 	en ook met zo'n met zo'n staaf waar vogel op kunnen zitten 
A: 	en met een ja ja ik weten eigenlijk niet zo goed 
B: 	ja die een die een een pannet zullen kunnen zijn met dan iets met met met een buttplug die eruit steken 
A: 	ja 
A: 	ja ja 
B: 	dus dus O 
B: 	dit zijn alweer die op het steelpannetje lijken met zo de rond deksel erachter 
B: 	met de de buttplug erbovenop 
A: 	even zoeken zoeken 
A: 	ja 
A: 	dat zijn acht 
A: 	dit zijn weer die wat een pannet kunnen zijn met die deksel 
A: 	en die buttplug 
B: 	even kijken 
B: 	ja dat zijn die 
B: 	dat zijn C 
B: 	het zijn weer het pannet met deksel en de minibuttplug erop 
A: 	ja dat zijn zeven 
A: 	dit zijn weer dat deksel 
A: 	dat pannet 
B: 	waar zijn die 
B: 	C 
A: 	nou overleven 
B: 	oké 
