B: 	het voelen voor mij alsof de onderkant soort van glas kruld iets zijn alsof het een sorbert zijn 
A: 	met een 
B: 	drie blok 
B: 	twee blok erop en ééntje uitstekend 
A: 	ja 
A: 	ja en een driehoek onder die onder die staaf 
B: 	ja 
B: 	staan op een driehoek 
A: 	ja 
A: 	vijfteen 
A: 	deze staat op weer op zo'n plateau met die wat een beetje op een ijsje lijken en dan een driehoek eronder 
B: 	ja 
B: 	dat zijn 
B: 	de sorbetachtig iets 
A: 	ja 
B: 	ja 
B: 	dat zijn I 
B: 	een tafel met een gekruld ding Erboven 
B: 	alsof hij aan het staan zijn 
B: 	drie object erop 
B: 	op de bovenkant 
A: 	dat 
B: 	soort van sorbet 
A: 	ja ja 
B: 	driehoek aan de onderkant 
A: 	ja 
A: 	zeven 
A: 	die met die swirl dinge aan de onderkant zeggen maar dat of die driehoek met die drie 
B: 	ja die op het driehoek staan 
A: 	ja 
B: 	ja 
B: 	M 
B: 	driehoek staan op driehoek 
B: 	krulden aan de onderkant 
B: 	drie vierkant 
B: 	twee vierkant en een lepeltje aan de bovenkant 
B: 	staan op een driehoek 
A: 	die swirl dinge 
B: 	ja Swirl 
A: 	ja 
A: 	zes 
A: 	dat swirl dinge met die drie ding bovenop 
B: 	ja 
B: 	B 
