A: 	zo 
A: 	dan hebben ik de koffiemok met een piramidedriehoekachtig aan de bovenkant 
A: 	en aan de voorkant zitten een flink blok wat aan de een kant wat schuin lopen twee kant misschien 
B: 	ja 
A: 	aan de onderkant zitten een link een wat rond vorm 
A: 	en er zitten nog een uitsteeksel link halverwege 
B: 	ja 
B: 	dat zijn duidelijk 
B: 	dat zijn letter J 
A: 	ja 
B: 	het koffiekopje met een een soort omgekeerde trechter in ieder geval een een punthoofd 
B: 	een bijzonder soort blok wat van breed naar smal uitloopen als zijn een neus 
B: 	aan de linkerkant nog een klein stekelt als uitsteeksel 
B: 	en daaronder een cirkel een rond 
A: 	ja 
A: 	oké 
A: 	dat zijn nummer zes 
A: 	punthoofd 
A: 	raar blok aan de voorkant 
B: 	ja met zo'n raar blok 
B: 	ja 
A: 	ja 
B: 	dat zijn letter E 
A: 	oké 
B: 	Punthoofd Blok aan de voorkant 
B: 	een cirkel onder 
A: 	ja 
A: 	nummer tien 
A: 	punthoofd 
B: 	ja 
B: 	met die raar blokneus 
A: 	ja 
B: 	ja 
B: 	letter G 
B: 	het punthoofd met de blokneus 
A: 	ja 
A: 	nummer tien 
