A: 	deze mok hebben aan de rechterkant twee balkje die precies even groot zijn 
A: 	precies ongeveer even groot zijn 
A: 	aan de bovenkant zitten er een soort van driehoek bovenop 
A: 	maar wel een stompe driehoek 
B: 	ja 
A: 	dan zitten er nog een een soort van balkje aan de links kant en helemaal onderin zitten nog een soort van standaard of zo ja 
B: 	de stekker 
B: 	zeggen maar een soort van stekker 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij I 
B: 	tenminste ik denken dat het I zijn 
B: 	ja I 
B: 	dit zijn de stekker 
A: 	de stekker dat zijn 
B: 	ja 
B: 	hebben een driehoek met een de stomp zijn ervan af 
B: 	die hebben zo'n deurklink 
B: 	zitten zo'n klein dinge hier zo links en die hebben dan twee van die ding die er aan die kant uit steken 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	dit zijn het figuur waar aan de rechterkant twee dezelfde balkjes uit komen er zitten een driehoek bovenop maar dat zijn wel die stompe driehoek 
A: 	en ja die stekker 
B: 	ja dat zijn bij mij M 
B: 	dit zijn de stekker 
A: 	de stekker die die dat zijn nummer 
B: 	zitten bij mij Linksboven 
B: 	in het linkerbovenvlak zitten die bij mij 
A: 	ja 
A: 	nummer negen 
A: 	ja bij mij ook 
A: 	dit zijn de stekker 
B: 	ja dat zijn bij mij F 
B: 	dit zijn de stekker 
B: 	die zitten bij mij horizontaal en dan de middellijn 
A: 	de stekker zitten ja 
A: 	nummer zes 
