A: 	goed 
B: 	oké 
B: 	het zijn een er zitten een cirkel verstpen achter het kop 
B: 	en er steken een ding uit 
B: 	aan de zijkant en ook aan de bovenkant 
B: 	en het ding wat aan de bovenkant uitsteekt zijn afronden 
B: 	en het ding wat aan de zijkant uitsteken zijn gewoon een cilinder 
A: 	lijken het een soort van op een kop waar een lepel in zitten zeggen maar 
A: 	en dan met nog een rond bovenop 
B: 	ja 
B: 	ja 
A: 	oké 
B: 	en daarachter zitten dus wel een soort plaat verstpen 
A: 	ja 
B: 	achter het kop 
A: 	en zijn de onderkant zijn die plat 
B: 	ja de onderkant zijn plat 
B: 	hij staan op een soort dinge het kop 
A: 	ja oké 
A: 	dan zijn het nummer dertien 
A: 	en op de geel knop drukken 
B: 	op de geel knop ja 
A: 	oké 
A: 	dit zijn weer het kop met de lepeltje eruit en dat rond schijf aan de achterkant 
A: 	met die plat plat onderkant en die staan op een soort van ja dinge 
B: 	ja 
B: 	dinge ja O zijn dat 
B: 	dit zijn met de verbergen cirkel achter het kop op het plateau 
B: 	met het lepel erin ook 
A: 	lepel erin 
A: 	ja nummer acht 
A: 	dit zijn het kop met het lepel en het rond dat er aan de achterkant uit komen 
B: 	ja 
B: 	dat zijn C 
B: 	verbergen cirkel achter het kop op het statief met dat lepel erin 
A: 	dat zijn nummer zeven 
A: 	dit zijn het kop met het lepel erin en dat en het rond dat er aan de achterkant uit komen 
B: 	ja 
B: 	C 
A: 	mooi 
B: 	tamta 
B: 	oké 
B: 	ik hebben die plaat wel vaak genoeg zien nu 
B: 	Jezus 
