B: 	ok dit hebben een vierkant vlak aan de voorkant en er zitten een soort van spijker achtig dinge op 
B: 	en aan de linkerkant zitten twee van die ja blok die steeds klein worden 
A: 	ja ok dat zijn twee 
A: 	deze hebben het vierkant aan de voorkant hebben een spijker aan de bovenkant en twee met die vierkantjes die uitlopen 
B: 	ja dat zijn G 
B: 	okan ja dit zijn ook weer met een soort van spijker aan de bovenkant niet dezelfde en dan met die vierkantjes die steeds klein worden en een vierkant vlak ervoor 
A: 	ok dat zijn negen 
A: 	deze hebben dat die spijker aan de bovenkant vierkant aan de voorkant en ja die twee vierkant die klein worden 
B: 	twee van die vierkant aan de zijkant die klein worden 
A: 	ja en die dat groot vierkant aan de voorkant 
B: 	ja dat zijn D 
B: 	ja dit zijn met die spijker en dat vierkant vlak voor en die twee ding die zo klein worden 
A: 	ja ja zijn één 
A: 	zijn met de spijker met een vierkant aan de voorkant en dan die vierkant die klein worden 
B: 	ja dat zijn B 
