A: 	deze hebben een hendel bovenop zijn hoofd en een hendel aan de zijkant 
A: 	en aan de kant aan ons kant waar wij van kijken staan een soort toren ja ik weten niet hoe ik het moeten zeggen een aflopen vorm 
A: 	en aan de achterkant zitten een soort slurf 
A: 	misschien hebben je nog een vraag ik weten niet of dit heel duidelijk zijn 
A: 	de hendel zijn soortgelijk zijn dezelfde 
B: 	ja hij hebben 
A: 	twee 
B: 	dus je hebben twee gelijk hendel met knop eraan 
A: 	boven en link 
A: 	ja 
B: 	nee dan bedoelen je waarschijnlijk een ander 
A: 	we mogen ook 
A: 	ja nee geen knop 
B: 	aan dezelfde kant zitten twee vierkant hendel 
A: 	nee het zijn Ronde 
A: 	we mogen ook gebaar volgens wij wel 
B: 	ik geloven het wel 
A: 	ja 
A: 	zo'n ovaal vorm 
A: 	ik noemen het maar hendel 
A: 	recht bovenop 
A: 	en links onder 
B: 	ja maar hij hebben ook één zo'n vierkant neus 
A: 	ja 
B: 	en nog een soort 
A: 	slurf staart 
B: 	ja 
B: 	okee dan zijn het m 
B: 	deze hebben de twee beetje of ja je hebben van die langwerpig lamp 
B: 	die hebben hij boven en aan de zijkant 
B: 	met een vierkant schroef als neus en een slurf aan de achterkant 
A: 	ik zijn aan het zoeken 
A: 	ja 
A: 	dat zijn dertien 
A: 	ja deze deze hebben weer die ja twee hendel noemen ik het boven en links en een slurf aan de achterkant 
B: 	die waar zijn die ook alweer blijven 
A: 	en aan de voorkant 
B: 	ja die twee identiek boven en aan de zijkant 
A: 	ja 
A: 	en aan de voorkant 
B: 	zo'n vierkant schroef 
A: 	vierkant schroef okee ja die 
B: 	okee 
B: 	ja dat zijn b 
B: 	deze hebben de vierkant schroef het slurf en de twee handvatt boven en aan de zijkant 
A: 	ja 
A: 	ja drie 
A: 	twee hendel 
A: 	en vierkant schroef aan de voorzijde 
A: 	rechtervoorzijde 
B: 	waar zijn je blijven 
A: 	en het slurf 
A: 	we hebben we ook nog geen goed naam voor die 
B: 	dat dat slurf inderdaad 
A: 	hendel recht bovenop het hoofd 
B: 	ja hoe kunnen we die nou noemen ik vinden hem wel lijken op een konijn 
A: 	ja 
A: 	okee ik gaan het proberen konijn 
B: 	b 
B: 	dit zijn het konijn 
A: 	ja 
A: 	ik willen even zeker weten dat ik nu de goed hebben 
B: 	ja dat zijn prima 
B: 	hij hebben ook een slurf 
A: 	ja en één en één en een vierkant schroef 
B: 	ja 
A: 	ja negen 
