B: 	ok deze beschrijfen ik eigenlijk gewoon als een balk bovenop horizontaal 
A: 	ja 
B: 	en wat daar er ver omheen zitten zijn allemaal een beetje vaag rechts zitten een 
A: 	ja 
B: 	klein pijp en daaronder zitten een driehoek achtig en link zitten een soort beker alleen op zijn kop 
A: 	jaja 
A: 	ja 
A: 	ja soort zo'n ding zijn wat aan de zijkant van een raket zitten 
B: 	ja 
A: 	zo'n soort ja ok dat zijn nummer acht bij mij 
A: 	ja dit zijn met die balk bovenop en die twee omgekeeren beker aan de zijkant 
A: 	en zo'n v' met een soort klein buisje er bovenop 
B: 	ja dat zijn voor mij E 
B: 	dit zijn met die balk bovenop en dat beker aan de zijkant op zijn kop 
A: 	even zoeken ja en die driehoek aan met dat staaf er op aan de voorkant ja dat zijn nummer één 
B: 	ja 
A: 	dit zijn met die balk bovenop en die twee omgekeeren beker aan de zijkant 
B: 	ja dat zijn voor mij E 
B: 	dit zijn met die balk bovenop en die kop op zijn kop 
A: 	ja zestien 
A: 	dit zijn met die twee omgekeerde kop en die balk bovenop 
B: 	twee mooi kop 
B: 	dat zijn voor mij O 
