B: 	ik vinden dit een beetje een robot het zijn een mok met een vierkant aan de voorkant die zijn dus platgeslagen 
B: 	er zitten een spijker aan de bovenkant en twee van die bliksemschich aan de zijkant 
A: 	ja 
A: 	nummer twee 
A: 	dit zijn die die met die twee bliksemschicht aan de links kant spijker erin en een vierkant een vierkant vlak ertegenaan 
B: 	ja ja de robot 
A: 	robot 
A: 	ja 
B: 	dat zijn bij mij G 
B: 	dit zijn de robot 
B: 	plat voorkant spijker en twee klein worden vierkant aan de linkerkant 
A: 	even kijken waar die staan 
A: 	ja dat zijn nummer negen 
A: 	dit zijn de robot 
B: 	oké ja dat zijn bij mij d 
B: 	dit zijn de robot 
A: 	de robot zitten 
B: 	die zitten een beetje bij de die staan bij jou weer heel ergens ander denken ik 
B: 	bij mij zitten die een beetje richting het middenkruis 
A: 	ja bij mij ook wel een beetje 
A: 	ja maar de robot zijn in ieder geval nummer één 
A: 	robot 
B: 	hallo 
B: 	ja dat zijn bij mij B 
