B: 	oké 
A: 	ja ik in deze zien ik een soort van poppe met heel smal arm 
A: 	en er je hebben zeggen maar een bal boven op het soort van kop liggen 
B: 	er liggen een bal bovenop 
A: 	ja 
B: 	een ei 
A: 	ja een ei een bal 
A: 	en er zitten zo'n ja een balk die liggen zeggen maar of die 
B: 	en zo'n een verticaal balk 
A: 	ja 
A: 	die zitten voor voor het ja het 
B: 	rechts ervoor 
A: 	ja 
B: 	zo'n verticaal balk maar die staan toch zo'n beetje zoals een wolkenkrabber 
B: 	de vorm 
A: 	ja 
A: 	ja ja ja 
B: 	ja en dan twee een soort van armp 
A: 	ja 
A: 	het lijken een beetje alsof die die wolkenkrabber gaan knuffelen 
A: 	ja ja 
B: 	ja dat zijn wel een goed 
B: 	oké dat zijn D 
B: 	even kijken het zijn nog één met een ei 
B: 	deze hebben we toch al hebben 
A: 	ja maar ze kwamen zes keer langs toch 
B: 	ja 
A: 	zijn het die doorbooren ei of niet 
B: 	nee het zijn het ei dat erop liggen 
A: 	met die die zo'n knuffel geven 
B: 	de de ja de de de knuffel aan de wolkenkrabber 
A: 	ja oké 
A: 	dat zijn vijftien 
A: 	dit zijn weer die knuffel aan de wolkenkrabber 
B: 	waar zijn die 
B: 	dat zijn L 
B: 	ja 
B: 	dit zijn weer de met een ei erop die een wolkenkrabber een knuffel geven 
A: 	ja dat zijn zes 
A: 	dit zijn die die wolkenkrabber gaan knuffelen 
B: 	dus dat zijn J 
B: 	dit zijn de eihoofd die de wolkenkrabber een knuffel geven 
A: 	ja 
A: 	dat zijn drie 
