A: 	even kijken dit hebben een soort ik hebben het omschrijven alsof het een soort vulkaan uit het beker komen 
A: 	laten maar zeggen ja het lijken alsof er een berg uit het bekert uitsteken 
B: 	ah ja 
A: 	aan de rechterzijde hebben het twee ja soort van post its laat maar zeggen eraan hangen 
A: 	en aan de linkerzijde zitten er ook nog een soort handvat en dan daaronder lijken het alsof het een staart hebben 
B: 	wachten die post it 
B: 	zijn het soort van zullen je het ook kunnen omschrijven als dat er een tipitent op staat 
A: 	ja 
B: 	half tipitent en dan 
A: 	ja maar dan zonder top 
B: 	zonder top 
A: 	ja laten maar zeggen wel een tipitent maar dan staan hij niet 
A: 	ik denken dat je een ander bedoelen 
A: 	laten maar zeggen wel een soort driehoek waarvan zeggen maar de top zijn afsnijden 
A: 	zo zien de bovenkant eruit 
A: 	en hij steken uit het beker 
B: 	ja en aan de rechterkant twee ding 
A: 	soort plakselt 
B: 	ja lijken een beetje op een stopcontact 
B: 	zullen kunnen 
B: 	zo'n stekker 
A: 	ja je zullen het in een stopcontact kunnen zetten 
B: 	okee 
A: 	en dan links hebben het ook een soort vaat en dan een soort staart aan de onderzijde 
B: 	ja 
B: 	ja okee 
B: 	dan zijn het c 
B: 	dit zijn het stopcontactding met de half tipitent of de vulkaan 
A: 	ja dat zijn nummer vijfteen 
A: 	dit zijn met die twee post its aan de rechterzijde 
A: 	ja dit zijn de half tipi 
B: 	ja 
A: 	met of ja de tipi met zonder top 
B: 	ja 
B: 	dat zijn e 
B: 	ja de half tipitent met de twee post its 
A: 	ja 
A: 	nummer acht 
A: 	de half tipi en de twee post its rechts en het staart 
B: 	ja 
B: 	dat zijn d 
B: 	de half tipitent met de post its 
A: 	ja nummer drie 
