B: 	okan jij moeten hem dus raden 
A: 	ja 
B: 	ja er zitten een soort van het zijn een soort van kop en daar zitten een lepeltje in en een steel eraan en aan de bovenkant zitten een 
B: 	half rond aan de onderkant zijn hij wat spits ik vinden het een beetje een koffiekopje 
A: 	ok zitten er iets aan de zijkant 
B: 	ja aan de linkerkant zitten een steel 
A: 	en er zitten er zijn maar één uitsteeksel zeggen maar aan de bovenkant 
B: 	ja 
B: 	nee ja er zijn zeggen maar één soort van lepeltje denken ik en er zijn een half rond aan de achterkant 
A: 	ok 
A: 	okan dan gaan ik voor dertien 
A: 	deze hebben weer de cirkel aan de achterkant hebben weer zo'n lepeltje 
A: 	en aan de zijkant nog één ja niet echt een armp want hij gaan niet zo maar rechts 
B: 	ja 
B: 	ok dat zijn O 
B: 	ja dit zijn dat kop met de lepeltje die er in hangen half rond aan de achterkant 
A: 	dat zijn acht 
A: 	dit zijn met de cirkel aan de achterkant lepeltje bovenin een uitsteeksel aan de linkerkant 
B: 	ja dat zijn C 
B: 	ja dit zijn met dat kop met dat half rond aan de achterkant 
A: 	ja dat zijn zeven 
A: 	ja dit zijn met die cirkel aan de achterkant die half cirkel met lepeltje erin en staafje aan de zijkant 
B: 	dat zijn C 
A: 	ja 
