A: 	deze hebben ook een dienblad dienbladen eigenlijk in de hand zullen je kunnen zeggen een cirkelvormig dienblad 
B: 	ja 
A: 	en daarnaast een uitstulping met een uitwaaien 
B: 	een nagel toevallig 
B: 	een soort klinknagel 
A: 	zullen zullen je dat zo kunnen zeggen 
A: 	ik zien daar veel zo een uitlopenen alsof er water uitkomen 
B: 	ja 
A: 	ja okee misschien zijn dat een nagel 
B: 	ik denken dat ik met enig zekerheid e kunnen zeggen 
B: 	jij moeten dan drukken denken ik 
B: 	of niet 
B: 	nee ik sorry 
B: 	deze hebben een klein rond ja een soort schotel aan in het midden aan de rechterkant 
B: 	en die hebben weer dat water dat er uitspuugen 
A: 	ja 
A: 	zeven 
A: 	deze spuugen water hebben een dienblad vast 
B: 	ja l 
B: 	deze hebben het water dat eruit spuugen 
A: 	twaalf 
A: 	waterspuger met dienblad 
B: 	c 
B: 	water dat eruit spuwen 
A: 	een 
