A: 	ok hij hebben een ja bolle op de bovenkant en aan de voorkant zijn een ja 
A: 	eigenlijk een rechthoek vrij langwerpig en aan de zijkant hebben hij eigenlijk twee van ja hoe omschrijf ik dit 
B: 	o wacht waar staan hij 
B: 	ja zeggen maar zitten er aan de voorkant nog een staaf 
A: 	ja die staaf zijn zeggen maar redelijk lang die opsteken ook nou ongeveer één drie denken ik onder het kop uit 
B: 	ja 
B: 	ja en twee van die armp beetje 
A: 	ja ja 
B: 	okan dan zijn het D 
B: 	ok dit zijn weer dat zelfde soort van man met die twee arm die zo doen met zo'n balk ervoor 
A: 	ok moeten hem even o ja en dan daar bovenop zo'n rond 
B: 	met zo'n bolle erop 
B: 	ja 
A: 	dit zijn vijftien 
A: 	ja dit zijn met die twee armp rondje bovenop en de ja lang vierkant of rechthoek 
B: 	ja dat zijn L 
B: 	okan ja dat zijn dat man die zo doen 
A: 	ja where are you o ja zes met de ding aan de bovenkant 
B: 	ja 
A: 	ja 
A: 	ja dit zijn weer met die armpjes zo en met de bal bal bovenop 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn dat man die zo doen 
A: 	ja dat zijn drie 
