A: 	hebben ik er weer één natuurlijk 
A: 	als ik die de één keer zien lijken het voor mij een beetje op een raket op een bepalen manier 
A: 	aan de rechterkant hebben hij twee rechthoekig uitsteeksel 
A: 	boven elkaar 
A: 	op de top hebben hij een een stompe driehoek dus denken ik dan een prisma 
A: 	en aan de linkerkant zijn er een uitstulpink 
A: 	en aan de linker onderkant ook , dat wel een beetje een ja een horentje lijken of een kraan ik 
B: 	ja 
A: 	ik weten niet 
B: 	ja 
B: 	en rechts dan twee recht staf 
A: 	precies ja 
B: 	ja ja 
B: 	dat zijn J 
B: 	deze hebben twee staaf rechts 
B: 	en ja klein pootje link 
A: 	en bovenop een afgesneden driehoek 
B: 	ja 
A: 	ja nummer acht 
A: 	deze hebben twee rechthoekig uitsteeksel aan de rechterkant 
A: 	en aan de onderkant een soort haak , aan de linkerkant zijn dat 
A: 	en in het midden aan de linkerkant zitten één , ja , zitten een uh , ja ovaal zijn het niet echt , een één , puntig aan beide kant en een beetje langwerpig vorm , en bovenop zijn er een afgestompt driehoek , dat zijn veel makkelijk , er zitten bovenop een afgestompte driehoek 
B: 	hebben hij twee staaf rechts 
A: 	ja twee staaf rechts en een afgestompte driehoek bovenop 
B: 	bovenop 
B: 	ja en een pootje linksonder ja ja 
A: 	ja 
A: 	ja ja 
B: 	dat zijn M 
B: 	deze hebben twee staaf rechts en een afgestompte driehoek bovenop 
A: 	ja 
A: 	moeten we een ander woord voor vinden 
A: 	en aan de onderkant ook een een soort handvat 
B: 	ja een een poo 
A: 	ja een poo 
A: 	ja 
B: 	en daarboven nog een ding 
A: 	en daar boven nog iets ja 
A: 	nummer een 
B: 	ja 
A: 	dit zijn een afgestompte driehoek bovenop 
B: 	ja twee staaf rechts 
A: 	ja 
B: 	d 
B: 	deze hebben twee staaf rechts en een afgestompte driehoek bovenop 
A: 	de afgestompte driehoek ja 
B: 	klein pootje link 
A: 	nummer vier 
