B: 	oké ik inzien weer een kop met twee heel klein rechthoekjes erop 
B: 	en dat zijn de enig met twee klein rechthoekjes erop 
A: 	ja en die hebben een soort slurf en aan de linkerkant hebben hij een soort eigenlijk armp 
B: 	ja 
A: 	en die zitten door zo'n vierkant plat vierkant heen 
B: 	ja 
A: 	oké 
A: 	dat zijn nummer vier bij mij 
B: 	oké 
A: 	nu hebben je twee heel klein uitsteeksel precies bovenop het kop 
A: 	en eigenlijk links daarvan hebben hij een soort armp 
B: 	en die uitsteeksel zijn gewoon gelijk en heel klein 
A: 	ja precies 
B: 	ja dat zijn G 
B: 	oké deze het omhulsel 
A: 	ja 
B: 	dan weten je welk ik bedoelen 
A: 	ja met dat tafel bedoelen je ? of niet 
B: 	ja 
A: 	ja nummer vijfteen 
A: 	deze hebben aan de bovenkant twee heel klein uitstulpel , precies in het midden , en die gaan ook ergens doorheen , door een vierkant 
B: 	ja oké dat zijn P 
B: 	deze hebben twee heel klein rechthoekjes op het kop 
A: 	oké en hebben hij dan ook soort waardoor of door vierkant heen 
B: 	ja 
A: 	oké nummer vijfteen 
A: 	aan de bovenkant twee heel klein uitstulpsels in het midden 
B: 	ja dat zijn J 
