A: 	oké ik hebben er één ik hebben het het zijn een een het cupje en 
A: 	het hebben een soort van bolle eraan aan de rechterkant met een staaf erdoorheen 
A: 	en een soort van ja zuignap zullen ik het willen omschrijven 
B: 	ja 
B: 	ja 
A: 	zeggen maar zo'n soort zeepbak die in de douche hangen 
B: 	en dan één zo'n stok daarboven 
A: 	en 
A: 	één zo'n stok erbovenop 
B: 	ja 
A: 	ja 
B: 	dat zijn bij nij mij nummer F 
B: 	dit zijn dat ding met dat bolle aan de waar dan zo'n spijker met die zuignap van de douche 
A: 	ja ja en dan dat dinge aan de 
B: 	en 
B: 	ja 
A: 	dat zijn nummer vijf 
A: 	zuignap 
B: 	ja 
B: 	dat zijn A 
B: 	dit zijn weer die zuignap 
A: 	ja vijf 
A: 	het zuignap 
B: 	dat zijn H 
B: 	dit zijn weer de zuignap 
A: 	ja nummer vijftien 
