A: 	okee next 
A: 	ja nou een koffiekopje 
A: 	met een bal bovenop 
A: 	aan de voorkant weer een ja een houten 
B: 	ja 
B: 	soort houten lat 
A: 	houten lat weer 
B: 	zijn die verticaal 
A: 	ja die zijn verticaal 
B: 	okee ja 
A: 	en dan horizontaal een soort van leiding 
A: 	link steken die ver uit dan rechts 
B: 	ja 
B: 	okee dan denken ik dat ik hem ook wel weten 
A: 	okee 
B: 	ik gaan voor g 
B: 	ah bij bij dit kop lijken het alsof er een ei bovenin liggen 
B: 	en er zitten aan de voorkant zitten een een een lat 
B: 	verticaal 
B: 	en je hebben nog een uitsteeksel aan de linkerkant 
B: 	die krom lopen 
B: 	en aan de achterkant hebben je ook nog een uitsteeksel 
A: 	ja en die plank die lopen weer verticaal 
B: 	ja 
A: 	ja 
A: 	ik gaan voor nummer zes 
A: 	dat zijn stom want je hebben ze al in je hoofd en dan moeten je ze nog zoeken 
B: 	je hebben ja ja toch ? ja 
B: 	het gaan echt om het zoeken inderdaad ja ja 
A: 	ah ja ik zijn aan de beurt trouwens 
A: 	een kop met een houten plank weer 
A: 	waarom hout 
A: 	gewoon een plank 
A: 	aan de voorkant 
A: 	ei bovenop en ja de uitsteeksel links rechts 
B: 	ja 
B: 	uitsteeksel aan de zijkant 
A: 	ja 
B: 	dat zijn c voor mij 
B: 	hier liggen het ei bovenin het kop 
B: 	met een verticaal lat aan de voorkant en twee uitsteeksel naar beide kant 
A: 	ja 
A: 	nummer vijfteen 
A: 	deze hebben een ei bovenop liggen 
A: 	een houten plank aan de voorkant 
A: 	verticaal 
A: 	en horizontaal weer wat leiding erdoorheen 
B: 	dat zijn d 
B: 	ei bovenop met een lat verticaal aan de voorkant 
A: 	ja nummer tien 
