A: 	oké ik hebben nu die een met een soort van rechts een soort van uitschuifschijf 
A: 	en links zijn een raar vorm 
A: 	waar nog weer een ander soort van pilaar uit opsteken 
B: 	ja 
A: 	hij hebben best wel veel uitsteeksel bovenop hebben die niks 
B: 	ja 
A: 	oké 
B: 	dat zijn L 
B: 	deze hebben die schijf horizontaal eruit steken aan de rechterkant 
B: 	en dan aan de linkerkant nog een gek vorm met een tuu eraan die zo steeds bred worden aan het einde vierkant 
A: 	ja 
A: 	dat zijn nummer zeven 
A: 	dit zijn die een met dat uitlopen ding links met dat vierkantje bovenop 
A: 	en rechts die plat schijf die zo uitsteekt en links nog weer ja die raar vorm die een beetje indeukt zeggen maar 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	deze hebben die gek uitsteeksel met dat vierkant en die ingedeuken ding 
A: 	ja 
B: 	of die dinge wat smal zijn en dan breed worden met een vierkant eraan aan dat gek ingedeuken ding en die schijf aan de ander kant 
A: 	ja ik weten welk je bedoelen ja daar ik zien hem ja dat zijn nummer zeggen maar je bedoelen die die uitlopen en dan dat vierkantje bovenop ja 
B: 	ja 
A: 	nummer één zijn dat 
A: 	ik hebben nu die een met rechts die schijf die uitsteken en dan links dat ingedeukken ding waar die tuut nog uit opsteken 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	dit zijn met dat die ingedeuken ding aan de linkerkant met de schijf aan de rechterkant en dat tuu of zoiets erbovenop 
A: 	ja 
A: 	dat zijn nummer dertien 
