B: 	ah waarom krijgen ik al moeilijk okee deze dit kop staan op een op iets op een op een plat plateauachtig idee er zitten een oor aan alleen die zijn een een kwart draaien ja een kwart draaien en zijn los van het kop 
A: 	ja 
A: 	ja 
B: 	en er zitten een rij aan ruiten die er achterlangs gaan doorheen gaan 
A: 	soort kraalt 
B: 	ja precies 
B: 	en een een soort draaien appel aan de voorkant 
A: 	ja dus een maar dat zijn een rond toch 
B: 	ja met een klein steel eraan 
A: 	ja ja ja dan weten ik hem zestien dat zijn zestien 
B: 	okee 
B: 	ik zullen hem zelf omschijven als een wcrolhouder maar 
A: 	okee 
A: 	nou dat zien ik niet maar okee dat gaan we onthouden 
A: 	nu hebben ik diegene met die kraal die zes kraalt 
B: 	ja dat zijn l 
A: 	okee 
B: 	deze hebben de kraalt 
A: 	de kraalt zijn zeven 
A: 	deze zijn met de kraal 
B: 	dat zijn l 
B: 	dit zijn de kraalt 
A: 	de kraalt zijn veertien 
A: 	dit zijn met de kraal 
B: 	dat zijn e 
