B: 	even kijken deze hebben aan de bovenkant twee steel die uitsteken waarvan één 
B: 	ja zullen je kunnen zeggen dat het een soort van roerhou zijn wat je in de verfpot steken 
A: 	die 
B: 	en en 
A: 	met dat driehoek aan de zijkant dat 
B: 	ja 
B: 	ja driehoek aan de zijkant en aan of aan de linkerkant en aan de rechterkant een soort van bolle 
A: 	ja 
A: 	soort soort neus ja 
B: 	ja 
A: 	dat zijn veertien voor mij 
A: 	hier zitten één ja zo'n roerstaafje in voor je verf en dan een een schroevendraaier voor kwastbovenkant 
B: 	ja 
B: 	bolle 
A: 	driehoek ja 
B: 	driehoek aan de zijkant 
B: 	ja 
B: 	dat zijn voor mij nummer N of letter N 
B: 	ja 
B: 	dit zijn wederom die met het verf spatel en het 
A: 	yes dat zijn negen voor mij 
A: 	dit zijn die met de verfroerstaaf 
B: 	ja 
B: 	soundbreathsmack one's ja 
B: 	dat zijn G voor mij 
B: 	weer de verf spatel 
A: 	yes dat zijn vijf voor mij 
A: 	dit zijn die met de verfroerstaaf 
B: 	J 
