B: 	oké nu hebben ik een soort ja een soort stoomboot hebben die hij hebben twee twee dinge op zijn hoofd 
B: 	en een groot neus die rond zijn ja een cilinder eigenlijk 
B: 	en hij hebben een hij zijn doorboren met een plaat 
A: 	ja en dan aan de linkerkant hebben je een soort van L eraan zitten 
B: 	ja en nog een haak ja ja 
A: 	ja 
A: 	dus die gaan we vanaf nu stoomboot noemen 
B: 	ja stoomboot 
A: 	oké 
A: 	welk zijn die bij jou 
B: 	hij H 
A: 	H zes 
A: 	plaat recht door de emmer heen een L aan de zijkant van het hoofd twee spriet bovenop 
B: 	ja ja ja ja ja ja 
A: 	zestien 
B: 	C 
B: 	C zestien 
B: 	de stoomboot met de rond neus 
B: 	die langwerpig ronde neus plaat door het midden 
A: 	ik weten welk je bedoelen maar ik moeten hem eerst vinden 
B: 	wat zeggen je 
A: 	ik moeten hem vinden 
B: 	ja 
A: 	met de L aan de zijkant 
B: 	ja 
A: 	ja oké 
B: 	I 
A: 	I dertien 
A: 	stoomboot van jou 
A: 	met die L aan de zijkant 
B: 	ja even kijken 
B: 	J en bij jou 
A: 	vijftien 
B: 	J vijftien 
B: 	deze noemen we de stoomboot 
B: 	met L'etje 
A: 	ja 
A: 	welk zijn het 
B: 	M 
B: 	sorry 
A: 	M negen ja maken niet uit 
A: 	ik vergeet het zelf ook de heel tijd 
A: 	je stoomboot 
A: 	met de L aan de zijkant 
B: 	ja even kijken ja 
A: 	acht 
B: 	N achten 
