A: 	oké 
A: 	deze hebben eigenlijk een soort van Pinokkioneus 
A: 	en daarboven ja ik vinden het een beetje een soort van helikopterachtig weten je wel ? van die zwaaiding lijken 
B: 	ja 
A: 	en dan hebben die daaronder een been voet en aan de zijkant een voet arm 
B: 	een voet 
B: 	ja 
B: 	zijn dat wat op zijn hoofd zijn een soort ruitje doorboren met iets 
A: 	ja 
B: 	oké 
B: 	dan zijn het M 
B: 	dit zijn die een met die helikopter op zijn op zijn hoofd 
A: 	ah ja 
A: 	even even kijken waar die staan 
A: 	ah nummer negen 
A: 	oké dit zijn met dat helikopterdinge 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn met de helikopter 
A: 	even kijken 
A: 	ah zijn nummer elf 
A: 	dat zijn met dat helikopterding 
B: 	ja even kijken dat zijn D 
B: 	dit zijn weer met dat helikopterdinge 
A: 	even kijken ah nummer veertien 
