A: 	okee nou de kopvorm met rechts naar de rechterkant uitstekend een balk eindigen in een ja iets van iets van een rond 
A: 	aan de linkerkant zitten zo'n zelfde balk alleen een stuk korter 
A: 	ook eindigen in een rond 
A: 	en bovenaan zitten nou ja een vierkant met nog een aanhangsel eraan 
A: 	aan het vierkant 
B: 	wachten even ik moeten even zoeken hoor wat zeggen je als één ook alweer 
A: 	nou rechts een beetje aan de onderkant 
A: 	daar zitten een staaf met een een rond aan het uiteinde 
B: 	ja 
A: 	aan de linkerkant zitten eigenlijk zo'n zelfde staaf alleen een stuk korter 
B: 	wachten even hoor 
A: 	dus het lijken een beetje die erdoorheen lopen 
B: 	wachten even 
B: 	ik moeten heel even zoeken hoor 
B: 	zijn het een soort van lijken het een beetje alsof er één 
B: 	wacht zijn het diegene met een soort van zonnepaneel erachter 
A: 	ja 
B: 	ja okee ja e 
A: 	ja dat zullen ik wel zeggen ja 
A: 	okee 
B: 	dit zijn degeen waar het lijken alsof de spijker er dwars dwars doorheen doorgaan maar net niet helemaal met het zonnepaneel wat erachter staan 
A: 	ja 
A: 	dat zijn vijf 
B: 	okee 
A: 	dit zijn die met het zonnepaneel aan de achterkant de met ja aan de onderkant de ding erdoorheen 
B: 	ja 
B: 	ja met ding erdoorheen 
A: 	ja 
B: 	ja 
B: 	n 
B: 	met het zonnepaneel en de spijker erdoorheen 
A: 	ja drie 
A: 	even kijken dit zijn die met het zonnepaneel erachter 
A: 	en de ding erdoorheen 
B: 	ja ik moeten hem even vinden 
B: 	ja 
B: 	g 
B: 	dit zijn degeen met het zonnepaneel en de spijker erdoorheen 
A: 	ja drie 
B: 	ja 
